Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
658;57810;"Journal of Cultural Heritage";journal;"12962074";0,699;Q2;84;151;546;7858;1979;540;3,48;52,04;43,67;2;81;France;Western Europe;"Elsevier Masson s.r.l.";"2000-2023";"Anthropology (Q1); Archeology (arts and humanities) (Q1); Conservation (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Chemistry (miscellaneous) (Q2); Computer Science Applications (Q2); Materials Science (miscellaneous) (Q2); Spectroscopy (Q2)";"Arts and Humanities; Chemistry; Computer Science; Economics, Econometrics and Finance; Materials Science; Social Sciences"
659;21100316001;"Journal of Biomedical Semantics";journal;"20411480";0,697;Q2;46;25;62;1171;182;62;3,05;46,84;41,04;0;6;United Kingdom;Western Europe;"BioMed Central Ltd";"2010-2023";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Health Informatics (Q2); Information Systems (Q2)";"Computer Science; Medicine"
660;19600161828;"Public Transport";journal;"16137159, 1866749X";0,697;Q2;36;28;79;1705;244;78;3,05;60,89;21,78;1;25;Germany;Western Europe;"Springer Verlag";"2009-2023";"Mechanical Engineering (Q1); Information Systems (Q2); Management Science and Operations Research (Q2); Transportation (Q2)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
661;19513;"International Journal of Network Management";journal;"10557148, 10991190";0,696;Q2;33;35;109;1540;274;100;2,38;44,00;20,18;0;2;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1991-2023";"Computer Networks and Communications (Q2); Computer Science Applications (Q2)";"Computer Science"
662;21100979314;"ACM Transactions on Human-Robot Interaction";journal;"25739522";0,694;Q2;22;48;66;3798;330;64;5,10;79,13;36,79;0;6;United States;Northern America;"Association for Computing Machinery (ACM)";"2018-2023";"Artificial Intelligence (Q2); Human-Computer Interaction (Q2)";"Computer Science"
663;21100216567;"IET Biometrics";journal;"20474938, 20474946";0,694;Q2;41;48;125;2042;421;121;2,88;42,54;28,17;1;2;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2012-2023";"Computer Vision and Pattern Recognition (Q2); Signal Processing (Q2); Software (Q2)";"Computer Science"
664;21100265609;"Digital Applications in Archaeology and Cultural Heritage";journal;"22120548";0,692;Q2;25;35;90;1553;331;90;3,21;44,37;43,48;0;19;United Kingdom;Western Europe;"Elsevier B.V.";"2014-2023";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Computer Science Applications (Q2)";"Arts and Humanities; Computer Science; Social Sciences"
665;10900153307;"Journal of Simulation";journal;"17477778, 17477786";0,692;Q2;31;55;67;2917;201;66;3,29;53,04;30,23;3;17;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2023";"Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Software (Q2)";"Computer Science; Decision Sciences; Engineering; Mathematics"
666;12373;"Journal of Computer Information Systems";journal;"08874417";0,691;Q2;77;106;148;6443;604;148;3,74;60,78;37,08;1;19;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2023";"Education (Q1); Computer Networks and Communications (Q2); Information Systems (Q2)";"Computer Science; Social Sciences"
667;19124;"Queueing Systems";journal;"15729443, 02570130";0,691;Q2;58;142;126;2182;160;114;1,20;15,37;17,33;0;1;Netherlands;Western Europe;"Springer Netherlands";"1986-2023";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Management Science and Operations Research (Q2); Statistics and Probability (Q2)";"Computer Science; Decision Sciences; Mathematics"
668;6700153291;"BMC Systems Biology";journal;"17520509";0,689;Q2;97;0;38;0;99;37;0,00;0,00;0,00;0;0;United Kingdom;Western Europe;"BioMed Central Ltd";"2007-2019";"Applied Mathematics (Q2); Computer Science Applications (Q2); Modeling and Simulation (Q2); Molecular Biology (Q3); Structural Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
669;23616;"AI and Society";journal;"09515666, 14355655";0,688;Q2;45;215;297;11725;1027;264;4,10;54,53;31,93;22;36;United Kingdom;Western Europe;"Springer London";"1987-1996, 1998-2023";"Philosophy (Q1); Artificial Intelligence (Q2); Human-Computer Interaction (Q2)";"Arts and Humanities; Computer Science"
670;21100242201;"Romanian Journal of Information Science and Technology";journal;"14538245";0,688;Q1;24;26;89;657;235;87;3,16;25,27;18,18;0;7;Romania;Eastern Europe;"Publishing House of the Romanian Academy";"2008-2023";"Computer Science (miscellaneous) (Q1)";"Computer Science"
671;20952;"Journal of Computing and Information Science in Engineering";journal;"15309827";0,687;Q2;57;97;224;4242;770;219;3,53;43,73;25,00;1;36;United States;Northern America;"The American Society of Mechanical Engineers(ASME)";"2001-2024";"Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q2); Industrial and Manufacturing Engineering (Q2); Software (Q2)";"Computer Science; Engineering"
672;19700174607;"Journal of Computational Science";journal;"18777503";0,686;Q1;65;222;377;10249;1530;365;3,20;46,17;19,11;2;30;Netherlands;Western Europe;"Elsevier B.V.";"2010-2023";"Computer Science (miscellaneous) (Q1); Modeling and Simulation (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
673;21100803572;"Systems Science and Control Engineering";journal;"21642583";0,686;Q2;33;85;236;2743;987;234;5,04;32,27;31,60;0;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2023";"Artificial Intelligence (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2)";"Computer Science; Engineering; Mathematics"
674;25887;"Discrete and Computational Geometry";journal;"14320444, 01795376";0,684;Q2;72;102;295;2455;297;288;0,95;24,07;14,29;0;1;United States;Northern America;"Springer New York";"1986-2023";"Computational Theory and Mathematics (Q2); Discrete Mathematics and Combinatorics (Q2); Geometry and Topology (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
675;24980;"Formal Aspects of Computing";journal;"09345043, 1433299X";0,684;Q2;44;11;90;694;145;79;1,38;63,09;17,14;0;3;United States;Northern America;"Association for Computing Machinery (ACM)";"1989-2023";"Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
676;28916;"IEEE Security and Privacy";journal;"15584046, 15407993";0,684;Q2;85;84;229;886;570;194;1,78;10,55;21,72;0;3;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2003-2023";"Law (Q1); Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2)";"Computer Science; Engineering; Social Sciences"
677;25623;"Journal of Supercomputing";journal;"15730484, 09208542";0,684;Q2;81;764;1457;31576;5438;1441;3,87;41,33;29,01;1;135;Netherlands;Western Europe;"Springer Netherlands";"1987-2023";"Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
678;24208;"Genetic Programming and Evolvable Machines";journal;"13892576, 15737632";0,683;Q2;44;23;73;1000;229;61;3,21;43,48;7,27;0;2;United States;Northern America;"Springer New York";"2003-2023";"Computer Science Applications (Q2); Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
679;18534;"International Journal for Numerical Methods in Fluids";journal;"10970363, 02712091";0,682;Q2;126;80;330;4291;724;330;2,06;53,64;16,09;0;1;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1981-2023";"Computational Mechanics (Q1); Applied Mathematics (Q2); Computer Science Applications (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2)";"Computer Science; Engineering; Mathematics"
680;21101020112;"Big Data and Cognitive Computing";journal;"25042289";0,681;Q2;33;160;171;9760;806;170;4,82;61,00;32,49;0;45;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2023";"Artificial Intelligence (Q2); Computer Science Applications (Q2); Information Systems (Q2); Management Information Systems (Q2)";"Business, Management and Accounting; Computer Science"
681;21101081506;"Journal of Financial Data Science";journal;"26403951, 26403943";0,681;Q2;13;36;110;1023;183;108;1,64;28,42;13,68;0;2;United Kingdom;Western Europe;"With intelligence";"2019-2023";"Artificial Intelligence (Q2); Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Finance (Q2); Information Systems (Q2); Information Systems and Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Economics, Econometrics and Finance"
682;16319;"IEEE Transactions on Nanobioscience";journal;"15361241, 15582639";0,678;Q2;73;67;212;2753;795;202;3,78;41,09;32,53;0;15;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2023";"Pharmaceutical Science (Q1); Bioengineering (Q2); Biomedical Engineering (Q2); Biotechnology (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Medicine (miscellaneous) (Q2); Nanoscience and Nanotechnology (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Materials Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
683;21100905985;"IEEE Journal on Exploratory Solid-State Computational Devices and Circuits";journal;"23299231";0,676;Q2;23;28;86;840;193;73;2,05;30,00;18,37;0;9;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2023";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Hardware and Architecture (Q2)";"Computer Science; Engineering; Materials Science"
684;24506;"GeoInformatica";journal;"15737624, 13846175";0,674;Q2;62;27;96;1307;302;89;2,01;48,41;25,25;0;8;Netherlands;Western Europe;"Kluwer Academic Publishers";"1997-2023";"Geography, Planning and Development (Q1); Information Systems (Q2)";"Computer Science; Social Sciences"
685;78470;"Discrete Mathematics and Theoretical Computer Science";journal;"14627264, 13658050";0,673;Q1;25;42;97;921;84;97;0,70;21,93;30,77;0;0;France;Western Europe;"Maison de l'informatique et des mathematiques discretes";"1998-2000, 2004-2023";"Computer Science (miscellaneous) (Q1); Discrete Mathematics and Combinatorics (Q2); Theoretical Computer Science (Q2)";"Computer Science; Mathematics"
686;21101021773;"Applied Mathematics and Nonlinear Sciences";journal;"24448656";0,671;Q1;23;494;224;8347;1041;224;4,65;16,90;38,15;0;121;Poland;Eastern Europe;"Sciendo";"2019-2023";"Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Applied Mathematics (Q2); Modeling and Simulation (Q2)";"Computer Science; Engineering; Mathematics"
687;24822;"Pattern Analysis and Applications";journal;"1433755X, 14337541";0,670;Q2;64;67;341;2825;1267;339;4,15;42,16;26,17;0;2;United Kingdom;Western Europe;"Springer London";"1998-2023";"Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2)";"Computer Science"
688;9500154152;"Intelligent Service Robotics";journal;"18612784, 18612776";0,669;Q2;40;50;122;1968;393;120;3,03;39,36;21,02;1;7;Germany;Western Europe;"Springer Verlag";"2008-2023";"Computational Mechanics (Q1); Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Mechanical Engineering (Q2)";"Computer Science; Engineering"
689;21101055221;"Proceedings of the ACM on Computer Graphics and Interactive Techniques";journal;"25776193";0,669;Q2;18;47;87;1460;189;86;1,89;31,06;27,39;0;1;United States;Northern America;"Association for Computing Machinery (ACM)";"2018-2023";"Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q2)";"Computer Science"
690;21100432792;"Journal of Electronic Science and Technology";journal;"2666223X, 1674862X";0,668;Q2;17;27;103;1104;477;101;2,26;40,89;29,20;0;2;China;Asiatic Region;"KeAi Communications Co.";"2015-2023";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2)";"Computer Science; Engineering"
